,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
984,3587,اچ‌ پی,Pavilion,out_of_stock,,,,0,,2.5,Intel,Corei3,2330M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD6470MDDR3,شش سلولی
985,3622,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Corei7,2670QM 2.2 GHZ,6,8,15.6,TFT LED-backlit LCD,Blu-ray,DDR3,هارددیسک,Microsoft Windows 7,ATI,RadeonHD6770MDDR5,شش سلولی
986,3867,دل,,out_of_stock,,,,0,,2.36,Intel,Corei3,370M,سه,سه,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
987,3883,ایسوس,,out_of_stock,,,,0,,2.44,Intel,Corei7,2630QM 2.0 GHZ,6,8,14.1,TFT LED-backlit LCD,Blu-ray,DDR3,هارددیسک,Microsoft Windows 7,NVIDIA,GeForceGT540MGPU,شش سلولی
988,4084,لنوو,,out_of_stock,,,,0,,2.6,Intel,Corei3,370M,سه,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
989,4269,ایسر,,out_of_stock,,,,0,,2.5,Intel,DualCore,P6100,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,Microsoft Windows 7,Intel,HDGraphics,شش سلولی
990,4304,ایسر,,out_of_stock,,,,0,,2.6,AMD,QuadCore,A6 Vision 3400M 1.4 GHz,4,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,ATI,RadeonHD6470M,شش سلولی
991,4311,ایسر,,out_of_stock,,,,0,,2.6,Intel,Corei5,2410M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT520MVRAM,شش سلولی
992,4317,ایسر,,out_of_stock,,,,0,,2.6,Intel,Corei7,2630QM 2.0 GHZ,6,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT540MVRAM,شش سلولی
993,4356,ایسوس,A,out_of_stock,,,,0,,2.6,Intel,Corei7,2670QM 2.2 GHZ,6,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForce610MDDR3VRAM,شش سلولی
