,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
142,Intel,Corei3,1305U,LPDDR5,8,0,0,Intel,4,UHDGraphics,lenovo,17280000,digikala,TN,15.6,1080,1920,18488555.253392804
143,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10 هسته ای,apple,74300000,meghdad,IPS,13.6,1600,2560,74505898.57142858
144,Intel,Corei3,I3 1115G4,DDR4,20,1024,0,Intel,4,Intel® UHD Graphics,asus,20289000,meghdad,full hd,15.6,1080,1920,19564953.611111116
145,Intel,Corei9,12900H,DDR5,32,0,0,Nvidia,4,GeForceRTX3080Ti,asus,165900000,digikala,OLED,15.6,1080,1920,107549135.95238094
146,Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GEFORCERTX3050TIGDDR6,asus,116332000,digikala,OLED,15.6,1080,1920,76843288.36079545
147,Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,16980000,digikala,lcd,15.6,1080,1920,16614683.897137946
148,Intel,Corei5,10300H,DDR4,8,0,0,Nvidia,4,GeForceGTX1650,asus,36000000,digikala,IPS,15.6,1080,1920,40281523.118284225
149,Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,18300000,digikala,lcd,15.6,1080,1920,18445612.871607922
150,Intel,Corei7,13620H,DDR5,16,0,0,Nvidia,4,GeForceRTX4050,lenovo,55200000,digikala,IPS,15.6,1080,1920,67636946.948489
151,Intel,Corei5,1035G1,DDR4,8,0,0,Intel,4,UHDGraphics,asus,28615000,digikala,IPS,15.6,1080,1920,33886146.94335733
152,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4050,lenovo,63000000,digikala,IPS,15.6,1080,1920,76084790.40860808
153,Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHD,acer,15990000,digikala,OLED,15.6,1080,1920,18055752.010358065
154,Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHD,lenovo,15000000,digikala,TN,15.6,1080,1920,16415449.268710816
155,Intel,Corei7,13700H,DDR4,16,0,0,Nvidia,4,GeForceRTX4050,asus,69400000,digikala,IPS,15.6,1080,1920,56996866.30641669
156,Intel,Corei7,12650H,DDR5,16,0,0,Nvidia,4,GeForceRTX3070-8GBGDDR6,asus,63500000,digikala,IPS,15.6,1080,1920,71753805.87229852
157,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,lenovo,75900000,digikala,IPS,15.6,1080,1920,76084790.40860808
158,Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,asus,16115000,digikala,OLED,15.6,1080,1920,17807576.931020733
159,Intel,Corei7,1255U,DDR4,16,0,0,Nvidia,4,GeForceMX550,lenovo,48990000,digikala,LED Backlit,15.6,1080,1920,47367214.69552204
160,Apple,M2,M2 8 Cores,Unified,8,0,0,Apple,4,Integrated10Cores,apple,64290000,digikala,IPS,15.6,1080,1920,71749263.27705628
161,Intel,Corei3,I3 1115G4,DDR4,20,512,1024,Intel,4,Intel UHD Graphics,lenovo,19435000,meghdad,TN,15.6,1080,1920,20159145.021367524
162,Intel,Corei7,1185G7,DDR4,32,1024,0,Intel,4, Intel® Iris® Xe,microsoft,82500000,meghdad,PixelSense,13.5,2256,1504,85766217.66666667
163,Apple,M2Pro,M2 Pro,unified memory,16,1024,0,Apple,4,دارای 19 هسته پردازش گرافیکی,apple,127000000,meghdad,IPS,14.2,3024,1964,116954190.0
164,Intel,Corei3,1215U,DDR4,8,256,0,Intel,4,UHD,lenovo,17700000,meghdad,full hd,15.6,1080,1920,16825172.67286222
165,Apple,M2Pro,M2 Pro,unified memory,16,512,0,Apple,4,دارای 19 هسته پردازش گرافیکی,apple,119000000,meghdad,IPS,16.2,3456,2234,116034103.33333331
166,Intel,Corei3,I3 1115G4,DDR4,36,512,1024,Intel,4,Intel UHD Graphics,lenovo,20861000,meghdad,TN,15.6,1080,1920,31789243.910256404
167,Intel,Corei5,1155G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,25600000,digikala,TN,15.6,1080,1920,26329192.83155733
168,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,lenovo,76900000,digikala,IPS,15.6,1080,1920,76084790.40860808
169,Intel,Corei7,13620H,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,lenovo,66750000,digikala,IPS,15.6,1080,1920,67636946.948489
170,Intel,Corei7,1065G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,35370000,digikala,lcd,15.6,1080,1920,39324919.53571429
171,Intel,Corei7,1065G7,DDR4,16,0,0,Nvidia,4,GeForceMX330,asus,31890000,digikala,lcd,15.6,1080,1920,41633519.47402598
172,Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,23240000,digikala,OLED,15.6,1080,1920,19725673.103181906
173,AMD,Ryzen7,4980U,DDR4,8,256,0,AMD,4,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,microsoft,46330000,meghdad,PixelSense,15.0,1080,1920,37561786.28571429
174,Intel,Corei3,1215U,DDR4,12,256,1024,Intel,4,UHD,lenovo,17690000,meghdad,full hd,15.6,1080,1920,17517704.7458448
175,Intel,Corei5,1135G7,DDR4,8,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,28550000,meghdad,full hd,15.6,1080,1920,26543781.268065266
176,Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,IntegratedIntelUHDGraphics,lenovo,15400000,digikala,TN,15.6,1080,1920,16415449.268710816
177,Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,33699000,meghdad,OLED,15.6,1080,1920,44657155.83378758
178,Intel,Corei3,I3 1115G4,DDR4,8,0,1024,Intel,4,Intel® UHD Graphics,acer,15300000,meghdad,full hd,15.6,1080,1920,16448772.15998621
179,Intel,Corei7,1185G7,LPDDR4X,32,0,0,Intel,4,IrisXe,microsoft,88700000,digikala,PixelSense,15.6,1080,1920,86579581.80555557
180,Intel,Corei7,1255U,DDR4,16,0,0,Nvidia,4,GeForceMX570AGDDR6LaptopGPU,hp,37490000,digikala,IPS,15.6,1080,1920,52725632.461286135
181,Intel,Corei7,1065 G7,DDR4,16,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,50300000,meghdad,PixelSense,15.0,2256,1504,63600334.21428572
182,Intel,Corei7,11370H,DDR4,16,512,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,93383000,meghdad,PixelSense,14.4,1600,2560,70889824.1468254
183,Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GeForceRTX3060,dell,79900000,digikala,OLED,15.6,1080,1920,75126109.1279762
184,Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,40600000,digikala,OLED,15.6,1080,1920,44979698.139048815
185,Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GEFORCERTX3060,asus,72650000,digikala,OLED,15.6,1080,1920,73309511.5779762
186,Intel,Corei9,13980HX,DDR5,16,0,0,Nvidia,4,GeForceRTX4080,asus,175280000,digikala,IPS,15.6,1080,1920,95852493.8095238
187,Intel,Corei3,I3 1115G4,DDR4,12,128,1024,Nvidia,2,MX450,lenovo,22100000,meghdad,OLED,15.6,1080,1920,21313194.666666668
188,Intel,Corei7,1355U,LPDDR4X,16,0,0,Intel,4,IrisXe,hp,75190000,digikala,IPS,15.6,1080,1920,70847569.15624999
189,Intel,Corei9,13900H,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,hp,98780000,digikala,IPS,15.6,1080,1920,104434006.66666666
190,Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GeForceRTX3050,asus,57390000,digikala,OLED,15.6,1080,1920,76843288.36079545
191,Intel,Corei5,1235U,DDR4,16,0,0,Intel,4,IrisXe,asus,28099000,digikala,lcd,15.6,1080,1920,31530228.69251532
192,Intel,Corei5,1135G7,DDR4,8,512,0,Nvidia,2,GeForce® MX330,asus,26699000,meghdad,full hd,15.6,1080,1920,28545603.5977356
193,Intel,Corei7,12700H,DDR4,16,1024,0,Nvidia,4,GeForce RTX 3050,asus,56674000,meghdad,OLED,15.6,1620,2880,62118129.87044051
194,Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,Iris Xe Graphics,hp,47720000,meghdad,OLED,15.6,1080,1920,35684135.88870851
195,Intel,Corei9,13900H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,hp,109290000,digikala,IPS,15.6,1080,1920,134218816.66666666
196,Intel,Corei7,12650H,DDR4,16,0,0,Nvidia,4,GeForceRTX3060,lenovo,52999000,digikala,IPS,15.6,1080,1920,47700991.24069908
197,Intel,Corei5,1035 G1,DDR4,8,256,0,Intel,4,Intel® UHD Graphics,microsoft,29380000,meghdad,PixelSense,12.5,1080,1920,37243097.18831169
198,Intel,Corei7,1255U,DDR4,16,512,1024,Intel,4,IRIS XEUP TO 4GB,lenovo,31250000,meghdad,OLED,15.6,1080,1920,45550499.089483425
199,Intel,Corei7,13650HX,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,asus,79091200,digikala,IPS,15.6,1080,1920,71753805.87229852
200,Intel,Corei3,I3 1115G4,DDR4,20,128,1024,Intel,4,Intel UHD Graphics,lenovo,18540000,meghdad,TN,15.6,1080,1920,20295084.12663068
201,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10 هسته ای,apple,73000000,meghdad,IPS,13.6,1600,2560,74505898.57142858
202,AMD,Ryzen9,6900HX,DDR5,16,0,0,Nvidia,4,GeForceRTX3060GDDR6,asus,74440400,digikala,IPS,15.6,1080,1920,88395031.1904762
